lp_id,lp_name,country,cable_count
san-jose-philippines,"San Jose, Philippines",Philippines,3
gustavia-saint-barthlemy,"Gustavia, Saint Barthélemy",Saint Barthélemy,3
tahiti-nui-french-polynesia,"Tahiti Nui, French Polynesia",French Polynesia,3
tahiti-iti-french-polynesia,"Tahiti Iti, French Polynesia",French Polynesia,3
granadilla-de-abona-spain,"Granadilla de Abona, Spain",Spain,3
santa-cruz-de-la-palma-canary-islands-spain,"Santa Cruz de La Palma, Canary Islands, Spain",Spain,3
goseong-ri-south-korea,"Goseong-ri, South Korea",South Korea,3
colombo-sri-lanka,"Colombo, Sri Lanka",Sri Lanka,3
sao-pedro-cape-verde,"Sao Pedro, Cape Verde",Cape Verde,3
georgetown-guyana,"Georgetown, Guyana",Guyana,3
cordova-ak-united-states,"Cordova, AK, United States",United States,3
muntok-indonesia,"Muntok, Indonesia",Indonesia,3
coron-philippines,"Coron, Philippines",Philippines,3
fukuoka-japan,"Fukuoka, Japan",Japan,3
nasugbu-philippines,"Nasugbu, Philippines",Philippines,3
boracay-philippines,"Boracay, Philippines",Philippines,3
dubai-united-arab-emirates,"Dubai, United Arab Emirates",United Arab Emirates,3
barcelona-spain,"Barcelona, Spain",Spain,3
lena-point-ak-united-states,"Lena Point, AK, United States",United States,3
bizerte-tunisia,"Bizerte, Tunisia",Tunisia,3
